experiment_name_attention,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,exp_name_only,experiment_name_collapse,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed,collapse_type
00_baseline_exploration/sweep2_h16_enc_20,yearly,6,2.8438319762547812,0.11271542459971141,2.619776964187622,2.9635798931121826,0.05098722564677397,0.02636596815926694,19,00_baseline_exploration,sweep2_h16_enc_20,sweep2_h16_enc_20,00_baseline_exploration,0.5453125,1.006013640397486,1.0836728811264038,0.7719882726669312,True,False,True,True,45.3125,16.015625,35.9375,2.734375,0.0,54.6875,0.0479463752935199,0.576318339598813,True,
00_baseline_exploration/sweep_combo1,yearly,6,3.8790116707483926,0.04421156917258098,3.8071084022521973,3.9431612491607666,0.018292497843503952,-0.011890036719185978,59,00_baseline_exploration,sweep_combo1,sweep_combo1,00_baseline_exploration,0.5370967741935484,0.9287704098521616,1.0761691331863403,0.7649515271186829,True,False,True,True,32.822580645161295,10.0,56.048387096774185,1.129032258064516,0.0,67.17741935483869,0.0416210292928941,0.5372824125804292,True,
00_baseline_exploration/sweep_encoder_20,yearly,6,2.717027028401693,0.0677547252462718,2.61856746673584,2.8196089267730713,0.06354356308778127,0.00826030458722789,0,00_baseline_exploration,sweep_encoder_20,sweep_encoder_20,00_baseline_exploration,0.51484375,0.5934322537462989,1.083159565925598,0.7738499641418457,True,False,True,True,27.265625,19.140625,50.9375,2.65625,0.0,72.734375,0.0576308645192513,0.4994150831909639,False,
00_baseline_exploration/sweep2_h16_enc_60,yearly,6,4.007749954859416,0.06002791655766171,3.913865089416504,4.064852237701416,0.016998450892666977,-0.01198955263410311,59,00_baseline_exploration,sweep2_h16_enc_60,sweep2_h16_enc_60,00_baseline_exploration,0.5403225806451613,0.99131829513443,1.076022028923035,0.7633564472198486,True,False,True,True,34.193548387096776,1.0483870967741935,63.2258064516129,1.532258064516129,0.0,65.80645161290322,0.0366340784794993,0.5682101726799671,True,
00_baseline_exploration/sweep_encoder_10,yearly,6,2.192684809366862,0.05179020310255697,2.117365837097168,2.281440019607544,0.10327609131733577,0.019400882720947362,0,00_baseline_exploration,sweep_encoder_10,sweep_encoder_10,00_baseline_exploration,0.5310077519379846,0.7536939306460533,1.0814003944396973,0.7701832056045532,True,True,True,True,5.271317829457364,20.155038759689923,70.54263565891473,3.565891472868217,0.4651162790697674,94.72868217054264,0.0276647521006176,0.531133469981425,True,
00_baseline_exploration/sweep2_combo1,yearly,6,3.5860731999079385,0.03622115084528337,3.526200532913208,3.6344239711761475,0.02719896472990513,-0.009703765596662117,39,00_baseline_exploration,sweep2_combo1,sweep2_combo1,00_baseline_exploration,0.530952380952381,0.7907138457755453,1.0788244009017944,0.7693415284156799,True,True,True,True,9.841269841269842,1.507936507936508,85.79365079365078,1.8253968253968256,1.0317460317460316,90.15873015873017,0.0359134775099251,0.5335121079148383,True,
00_baseline_exploration/sweep2_hidden_8,yearly,6,2.88805623849233,0.05153267508576427,2.83010196685791,2.9673290252685547,0.05037202872335911,-0.01962344987051805,19,00_baseline_exploration,sweep2_hidden_8,sweep2_hidden_8,00_baseline_exploration,0.53671875,0.8329736080938573,1.0821141004562378,0.7726625204086304,True,True,False,True,2.34375,0.0,93.828125,1.953125,1.875,97.65625,0.0233102545974636,0.5446263866439122,True,
00_baseline_exploration/sweep_lr_0.0007,yearly,6,2.714244286219279,0.09746704624550906,2.5530149936676025,2.864360809326172,0.05743463026980559,0.023509393419538175,0,00_baseline_exploration,sweep_lr_0.0007,sweep_lr_0.0007,00_baseline_exploration,0.5171875,0.6744092856776368,1.0836397409439087,0.7744737267494202,True,False,True,True,39.375,16.328125,42.1875,2.109375,0.0,60.625,0.0567704281629023,0.5172206376981818,False,
00_baseline_exploration/sweep_dropout_0.2,yearly,6,2.7305002212524414,0.16712517060959228,2.476818084716797,2.9400291442871094,0.06899164679149787,0.049132224491664454,0,00_baseline_exploration,sweep_dropout_0.2,sweep_dropout_0.2,00_baseline_exploration,0.52890625,0.8316120343488611,1.0822643041610718,0.7726714015007019,True,False,True,True,31.171875,15.937499999999998,50.07812499999999,2.8125,0.0,68.82812499999999,0.0469111619029136,0.5344402455963682,True,
00_baseline_exploration/sweep_hidden_16,yearly,6,2.8438319762547812,0.11271542459971141,2.619776964187622,2.9635798931121826,0.05098722564677397,0.02636596815926694,19,00_baseline_exploration,sweep_hidden_16,sweep_hidden_16,00_baseline_exploration,0.5453125,1.006013640397486,1.0836728811264038,0.7719882726669312,True,False,True,True,45.3125,16.015625,35.9375,2.734375,0.0,54.6875,0.0479463752935199,0.576318339598813,True,
00_baseline_exploration/sweep2_h16_lr_0.0004,yearly,6,2.7962782780329385,0.12657241938763342,2.582423448562622,2.9537320137023926,0.05090571070710818,0.04250296865190771,19,00_baseline_exploration,sweep2_h16_lr_0.0004,sweep2_h16_lr_0.0004,00_baseline_exploration,0.5328125,0.8848522644322627,1.0827536582946775,0.7721511125564575,True,True,True,True,45.390625,14.296875,36.40625,1.171875,2.734375,54.609375,0.0429959134512605,0.5570791136463497,True,
00_baseline_exploration/sweep_lr_0.0003,yearly,6,2.659117897351583,0.10811121162389074,2.5035455226898193,2.829627513885498,0.06663832378884156,0.028060960769653275,0,00_baseline_exploration,sweep_lr_0.0003,sweep_lr_0.0003,00_baseline_exploration,0.51640625,0.5958722525613852,1.0834747552871704,0.7735548615455627,True,False,True,True,26.09375,19.609375,49.84375,4.453125,0.0,73.90625,0.0385275677119366,0.5133440812235665,True,
