experiment,avg_entropy,std_entropy,min_entropy,max_entropy,entropy_range,avg_concentration,std_concentration,temporal_variance,top_timestep_diversity,mean_attention_pattern,phase
sweep_dropout_0.15,2.717027028401693,0.0677547252462718,2.61856746673584,2.8196089267730713,0.20104146003723145,0.06354356308778127,0.002932657773680531,2.5642680076511588e-05,0.16666666666666666,"[0.15741127 0.06887035 0.0496873  0.04298131 0.04017112 0.03902216
 0.03874601 0.03894182 0.03941479 0.03994715 0.04049173 0.04106054
 0.04160373 0.04239364 0.04331731 0.04433652 0.04545619 0.04683489
 0.04851474 0.05079744]",Fixed Release
sweep2_hidden_12,2.6373873949050903,0.19880461494743126,2.356114149093628,2.930697202682495,0.5745830535888672,0.07716205529868603,0.020452125575711983,0.00025343684948591385,0.16666666666666666,"[0.01808514 0.01945621 0.02126055 0.02255479 0.02357737 0.02451034
 0.02554636 0.02683268 0.02856562 0.0311044  0.03487029 0.040343
 0.04796409 0.05761405 0.06874531 0.08039256 0.0916289  0.10200541
 0.11190929 0.12303366]",Fixed Release
sweep2_hidden_16,2.8438319762547812,0.11271542459971141,2.619776964187622,2.9635798931121826,0.34380292892456055,0.05098722564677397,0.0012470634192607772,1.7583664978240367e-05,0.16666666666666666,"[0.04116748 0.04292392 0.04382115 0.04448015 0.04535776 0.04643843
 0.04754319 0.04834779 0.0488657  0.04919286 0.04957898 0.04996733
 0.05041457 0.05104744 0.05190243 0.05304813 0.05459391 0.05675999
 0.05988723 0.0646616 ]",Fixed Release
sweep2_h16_lr_0.0008,2.806995471318563,0.13060977918573763,2.548511028289795,2.9452290534973145,0.39671802520751953,0.05068629048764706,0.0008221255220667407,1.1762313915302969e-05,0.16666666666666666,"[0.04376031 0.04567601 0.04693109 0.04726012 0.04741947 0.04760238
 0.0478293  0.04796517 0.04804642 0.0480869  0.04828781 0.04853496
 0.04889137 0.04948285 0.05031782 0.05148554 0.05311907 0.0555271
 0.05906518 0.0647111 ]",Fixed Release
sweep2_h16_drop_0.3,2.880005359649658,0.10097120195390194,2.6660594940185547,2.9712607860565186,0.30520129203796387,0.05033591203391552,0.00045275131650185856,6.26998457750705e-06,0.16666666666666666,"[0.04535885 0.04725922 0.04823549 0.04869392 0.0487636  0.04865339
 0.04851439 0.04837163 0.0483     0.04831075 0.04848875 0.04874488
 0.04906632 0.04954828 0.05017092 0.05109329 0.05234464 0.05405672
 0.05625464 0.05977034]",Fixed Release
sweep2_h16_lr_0.0002,2.8353060483932495,0.11203278693823253,2.6236796379089355,2.9632325172424316,0.3395528793334961,0.051247638960679374,0.001688663233807335,2.4905910019385066e-05,0.16666666666666666,"[0.04254885 0.04386819 0.04431108 0.04425011 0.04427774 0.04454363
 0.04520123 0.04619693 0.04737382 0.04846097 0.04945741 0.05028753
 0.05100981 0.0518103  0.05272273 0.05389317 0.05547307 0.05771255
 0.06093225 0.06566865]",Fixed Release
sweep2_hidden_18,2.87348473072052,0.06161247661708638,2.7574031352996826,2.9565625190734863,0.1991593837738037,0.053686983262499176,0.004237522210585245,4.973354869083139e-05,0.16666666666666666,"[0.03356622 0.03454408 0.03561634 0.03756444 0.03965539 0.04151816
 0.04318667 0.0446812  0.04615336 0.04767511 0.04931062 0.05101555
 0.05273305 0.05467634 0.05679786 0.05926609 0.06215982 0.06557006
 0.06959747 0.07471221]",Fixed Release
exp004_attn1,2.6143439213434854,0.14629148270190193,2.4262919425964355,2.864722967147827,0.4384310245513916,0.052275050431489944,0.0016737093843749275,4.655090722503688e-05,0.3333333333333333,"[0.06823048 0.0603036  0.05553847 0.0510206  0.04743463 0.04498232
 0.04348865 0.042625   0.04225731 0.04231202 0.04268141 0.04325066
 0.04397223 0.04516188 0.04650557 0.04820325 0.05037738 0.05369444
 0.05912068 0.06883945]",Fixed Release
sweep2_h16_lr_0.0003,2.8446985483169556,0.10331896842951402,2.6485962867736816,2.9616312980651855,0.3130350112915039,0.05110416313012441,0.001374352839068926,1.9609463837632353e-05,0.16666666666666666,"[0.04130127 0.0431103  0.04400068 0.04423642 0.04451643 0.04505736
 0.04600608 0.04716058 0.04824901 0.04908469 0.04981617 0.05043312
 0.05101755 0.05172253 0.05257917 0.05371156 0.05525335 0.05743103
 0.06049117 0.06482154]",Fixed Release
exp002_small,2.8204500675201416,0.12179879807127081,2.5700252056121826,2.940681219100952,0.37065601348876953,0.05060818915565809,0.0007293045214271265,9.27725068401455e-06,0.16666666666666666,"[0.04417246 0.04610348 0.04730407 0.04751049 0.04757523 0.047704
 0.04788941 0.04797812 0.04798622 0.04798756 0.04816297 0.04840484
 0.04876372 0.04935434 0.05017722 0.05134136 0.05298751 0.05538044
 0.05885512 0.06436147]",Fixed Release
