experiment_name,period1,period2,cosine_similarity,l2_distance,entropy_change,concentration_change,top_timestep1,top_timestep2,top_timestep_delta,signal_cosine,signal_l2,signal_entropy,signal_top_timestep,n_signals_fired
00_baseline_exploration/sweep2_h16_enc_30,2021,2022,0.993788586203901,0.020431233569979668,0.043501853942871094,8.756294846534729e-05,t-0,t-29,29,False,False,False,True,1
00_baseline_exploration/sweep2_h16_enc_30,2022,2023,0.9913866167314519,0.02413174696266651,-0.05599713325500488,0.0002660788595676422,t-29,t-29,0,False,False,True,False,1
00_baseline_exploration/sweep2_h16_enc_30,2023,2024,0.9763454955780357,0.041676316410303116,-0.12692666053771973,0.002996433526277542,t-29,t-0,29,False,True,True,True,3
00_baseline_exploration/sweep2_h16_enc_30,2024,2025,0.9820070405171772,0.03635604679584503,-0.033492326736450195,-0.002210959792137146,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/exp002_small,2021,2022,0.9945656106855574,0.02338421531021595,0.026484012603759766,0.0003750510513782501,t-0,t-19,19,False,False,False,True,1
00_baseline_exploration/exp002_small,2022,2023,0.9896543749921414,0.03231421113014221,-0.030015945434570312,6.0226768255233765e-05,t-19,t-0,19,False,True,False,True,2
00_baseline_exploration/exp002_small,2023,2024,0.992789785493511,0.027494700625538826,-0.06870889663696289,0.0017658025026321411,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/exp002_small,2024,2025,0.9894310073899657,0.03316681459546089,-0.028637409210205078,-0.001590818166732788,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep2_h16_drop_0.15,2021,2022,0.9933143275597421,0.02597867324948311,0.03510117530822754,0.00026680901646614075,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_drop_0.15,2022,2023,0.9846181314083166,0.0395832285284996,-0.05466461181640625,0.0005926117300987244,t-19,t-0,19,False,True,True,True,3
00_baseline_exploration/sweep2_h16_drop_0.15,2023,2024,0.9836157931440019,0.04279937222599983,-0.1114041805267334,0.0042854249477386475,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_drop_0.15,2024,2025,0.9811057256520082,0.04567491635680199,-0.013338327407836914,-0.0035510361194610596,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/exp003_large,2022,2023,0.9931637798811612,0.02778756618499756,0.029747486114501953,-0.003032725304365158,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep_encoder_60,2022,2023,0.9949018200548432,0.01312593836337328,0.015627384185791016,-0.0002406816929578781,t-57,t-38,19,False,False,False,True,1
00_baseline_exploration/sweep_encoder_60,2023,2024,0.9997024789566857,0.003150885459035635,-0.0008649826049804688,-1.662410795688629e-05,t-38,t-25,13,False,False,False,True,1
00_baseline_exploration/sweep_encoder_60,2024,2025,0.9993115827756905,0.004796270281076431,-0.004999637603759766,3.577768802642822e-05,t-25,t-40,15,False,False,False,True,1
00_baseline_exploration/sweep2_combo3,2024,2025,0.9993184498774987,0.006773496512323618,-0.011016845703125,-9.2286616563797e-05,t-0,t-8,8,False,False,False,True,1
00_baseline_exploration/sweep_hidden_64,2022,2023,0.9910286763673367,0.03216062858700752,0.03704667091369629,-0.0038072802126407623,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep2_combo2,2023,2024,0.9981995299534032,0.010981542058289051,-0.0001468658447265625,-0.00010183081030845642,t-0,t-29,29,False,False,False,True,1
